Group,Virus,Tissue,MHPG,NA,MHPG-NA,Dopac,DA,HVA,HVA-DA
ChR2-,ChR2-,Cortex,56.435,337.968,0.167,62.117,361.797,82.598,0.228
ChR2-,ChR2-,Cortex,60.876,303.697,0.2,46.732,172.549,59.358,0.344
ChR2-,ChR2-,Cortex,65.375,291.145,0.225,74.181,286.451,95.855,0.335
ChR2-,ChR2-,Cortex,56.185,286.189,0.196,47.86,189.843,61.145,0.322
ChR2-,ChR2-,Cortex,54.413,289.969,0.188,58.099,278.914,75.951,0.272
ChR2-,ChR2-,Cortex,59.688,290.936,0.205,48.861,168.896,66.06,0.391
ChR2-,ChR2-,Cortex,54.288,270.523,0.201,52.387,318.066,88.742,0.279
ChR2-,ChR2-,Cortex,55.449,317.502,0.175,47.49,218.031,70.261,0.322
ChR2-,ChR2-,Cortex,47.969,281.199,0.171,57.553,281.6,75.872,0.269
ChR2-,ChR2-,Cortex,61.57,345.418,0.178,63.093,412.994,96.81,0.234
ChR2-,ChR2-,Cortex,48.644,280.843,0.173,64.474,372.412,99.616,0.267
ChR2-,ChR2-,Cortex,51.206,260.383,0.197,49.248,196.173,67.125,0.342
ChR2+,ChR2+,Cortex,64.276,263.783,0.244,56.989,333.184,81.926,0.246
ChR2+,ChR2+,Cortex,61.684,325.103,0.19,44.965,182.126,63.145,0.347
ChR2+,ChR2+,Cortex,58.074,278.572,0.208,52.284,194.239,73.286,0.377
ChR2+,ChR2+,Cortex,61.088,300.457,0.203,53.372,273.503,82.958,0.303
ChR2+,ChR2+,Cortex,66.749,347.436,0.192,42.632,210.586,64.147,0.305
ChR2+,ChR2+,Cortex,57.231,289.263,0.198,47.97,247.651,74.539,0.301
ChR2+,ChR2+,Cortex,51.716,309.185,0.167,64.125,463.262,100.493,0.217
ChR2+,ChR2+,Cortex,53.084,291.571,0.182,70.998,419.286,97.934,0.234
ChR2+,ChR2+,Cortex,58.887,307.164,0.192,60.174,329.548,88.323,0.268
ChR2+,ChR2+,Cortex,50.261,257.271,0.195,58.044,468.106,97.08,0.207
ChR2+,ChR2+,Cortex,61.317,297.182,0.206,57.443,229.131,75.303,0.329
ChR2+,ChR2+,Cortex,54.934,277.558,0.198,62.673,276.074,88.131,0.319
Homecage,Homecage,Cortex,49.963,336.043,0.149,43.426,196.445,52.963,0.27
Homecage,Homecage,Cortex,46.754,336.767,0.139,45.353,198.028,59.317,0.3
Homecage,Homecage,Cortex,57.458,286.019,0.201,39.899,223.457,57.835,0.259
Homecage,Homecage,Cortex,45.374,260.039,0.174,41.503,199.213,51.66,0.259
Homecage,Homecage,Cortex,51.257,317.199,0.162,49.853,185.446,61.077,0.329
Homecage,Homecage,Cortex,44.681,343.351,0.13,41.389,195.888,45.122,0.23
Homecage,Homecage,Cortex,42.51,331.063,0.128,46.023,212.632,53.124,0.25
Homecage,Homecage,Cortex,48.84,317.386,0.154,56.46,438.491,81.515,0.186
Homecage,Homecage,Cortex,47.966,339.324,0.141,43.94,165.65,52.099,0.315
Homecage,Homecage,Cortex,54.395,264.892,0.205,50.77,190.169,66.14,0.348
ChR2-,ChR2-,RH-dHC,46.843,444.912,0.105,26.652,28.355,52.86,1.864
ChR2-,ChR2-,RH-dHC,48.652,402.779,0.121,29.416,18.4,54.174,2.944
ChR2-,ChR2-,RH-dHC,59.269,429.247,0.138,41.604,29.675,63.973,2.156
ChR2-,ChR2-,RH-dHC,42.55,359.675,0.118,29.155,27.027,48.954,1.811
ChR2-,ChR2-,RH-dHC,45.519,404.385,0.113,28.955,25.419,51.762,2.036
ChR2-,ChR2-,RH-dHC,42.689,356.943,0.12,26.002,21.72,49.975,2.301
ChR2-,ChR2-,RH-dHC,52.617,451.556,0.117,22.951,18.256,53.262,2.918
ChR2-,ChR2-,RH-dHC,54.042,408.45,0.132,27.269,16.951,56.777,3.349
ChR2-,ChR2-,RH-dHC,49.558,399.94,0.124,28.342,21.072,56.26,2.67
ChR2-,ChR2-,RH-dHC,69.523,457.314,0.152,37.088,33.259,68.663,2.064
ChR2-,ChR2-,RH-dHC,46.226,394.827,0.117,37.076,22.827,70.788,3.101
ChR2-,ChR2-,RH-dHC,62.123,382.324,0.162,24.175,19.107,55.804,2.921
ChR2+,ChR2+,RH-dHC,74.457,355.173,0.21,45.234,38.124,80.251,2.105
ChR2+,ChR2+,RH-dHC,56.4,399.063,0.141,37.689,33.198,67.892,2.045
ChR2+,ChR2+,RH-dHC,64.79,391.93,0.165,45.218,127.121,80.319,0.632
ChR2+,ChR2+,RH-dHC,66.741,342.639,0.195,42.163,41.823,85.057,2.034
ChR2+,ChR2+,RH-dHC,62.265,408.581,0.152,46.525,51.601,82.755,1.604
ChR2+,ChR2+,RH-dHC,66.221,344.989,0.192,43.154,52.381,75.755,1.446
ChR2+,ChR2+,RH-dHC,65.447,353.493,0.185,50.78,39.925,83.381,2.088
ChR2+,ChR2+,RH-dHC,69.562,396.678,0.175,48.985,34.84,79.869,2.292
ChR2+,ChR2+,RH-dHC,63.402,338.135,0.188,43.645,38.609,83.715,2.168
ChR2+,ChR2+,RH-dHC,57.922,407.849,0.142,34.262,31.163,65.476,2.101
ChR2+,ChR2+,RH-dHC,77.738,318.582,0.244,58.263,46.489,89.192,1.919
ChR2+,ChR2+,RH-dHC,57.856,314.477,0.184,41.579,33.151,80.701,2.434
Homecage,Homecage,RH-dHC,48.768,528.828,0.092,24.294,16.415,42.088,2.564
Homecage,Homecage,RH-dHC,39.938,443.02,0.09,22.863,17.292,51.21,2.961
Homecage,Homecage,RH-dHC,51.8,457.878,0.113,31.761,29.473,52.886,1.794
Homecage,Homecage,RH-dHC,38.159,307.826,0.124,21.993,21.317,40.032,1.878
Homecage,Homecage,RH-dHC,39.834,431.479,0.092,29.249,21.983,58.591,2.665
Homecage,Homecage,RH-dHC,41.309,470.937,0.088,18.903,14.053,39.335,2.799
Homecage,Homecage,RH-dHC,35.013,416.15,0.084,30.799,49.601,61.715,1.244
Homecage,Homecage,RH-dHC,32.48,453.259,0.072,21.827,22.642,49.193,2.173
Homecage,Homecage,RH-dHC,52.034,522.61,0.1,27.461,21.793,54.517,2.502
Homecage,Homecage,RH-dHC,50.571,409.914,0.123,25.743,22.5,52.865,2.35
